,names,size,TN,FN,TP,FP,proportion_of_0,proportion_of_1,Accuracy
2,"LoanAmount,EMI,InsuranceRate,InsuranceAmount/4.csv",6541,0.09,0.89,0.03,0.0,0.45,0.55,0.11
94,"loantype,LoanAmount,InsuranceRate,ResidenceType/4.csv",10252,0.09,0.89,0.03,0.0,0.53,0.47,0.11
186,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount/2.csv",15144,0.09,0.89,0.03,0.0,0.57,0.43,0.11
225,"LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
249,"loantype,LoanAmount,InsuranceRate/5.csv",6563,0.09,0.89,0.03,0.0,0.46,0.54,0.11
270,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
284,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
294,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
342,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
402,"InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
482,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
487,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
591,"LoanAmount,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
644,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount/5.csv",6461,0.09,0.89,0.03,0.0,0.46,0.54,0.11
669,"loantype,DocumentCharge,InsuranceRate/5.csv",14681,0.09,0.89,0.03,0.0,0.55,0.45,0.11
676,"loantype,EMI,InterestRate,InsuranceRate,NoOfDependents/2.csv",13327,0.09,0.89,0.03,0.0,0.56,0.44,0.11
700,"DocumentCharge,EMI,InsuranceRate/3.csv",12726,0.09,0.89,0.03,0.0,0.57,0.43,0.11
727,"loantype,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",10252,0.09,0.89,0.03,0.0,0.53,0.47,0.11
730,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
775,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
780,"LoanAmount,InsuranceRate,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
824,"DocumentCharge,EMI,InsuranceRate,RentAmount/3.csv",12726,0.09,0.89,0.03,0.0,0.57,0.43,0.11
848,"loantype,EMI,InsuranceRate,RentAmount/5.csv",14681,0.09,0.89,0.03,0.0,0.55,0.45,0.11
914,"LoanAmount,EMI,InsuranceRate,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
964,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
1046,"LoanAmount,EMI,InsuranceRate,RentAmount/4.csv",6257,0.09,0.89,0.03,0.0,0.45,0.55,0.11
1131,"InsuranceRate,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
1184,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
1298,"InterestRate,InsuranceRate,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
1361,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
1456,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
1508,"loantype,DocumentCharge,InsuranceRate,RentAmount/5.csv",14681,0.09,0.89,0.03,0.0,0.55,0.45,0.11
1574,"DocumentCharge,InsuranceRate/3.csv",12726,0.09,0.89,0.03,0.0,0.57,0.43,0.11
1579,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
1620,"InsuranceRate,InsuranceAmount,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
1652,"EMI,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
1757,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount/2.csv",15144,0.09,0.89,0.03,0.0,0.57,0.43,0.11
1806,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/2.csv",14380,0.09,0.89,0.03,0.0,0.53,0.47,0.11
1965,"LoanAmount,EMI,InsuranceRate,ResidenceType,NoOfDependents/3.csv",9635,0.09,0.89,0.03,0.0,0.53,0.47,0.11
1984,"loantype,LoanAmount,EMI,InsuranceRate/5.csv",6343,0.09,0.89,0.03,0.0,0.46,0.54,0.11
2050,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
2080,"LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
2090,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
2102,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,RentAmount/4.csv",6333,0.09,0.89,0.03,0.0,0.45,0.55,0.11
2144,"loantype,EMI,InsuranceRate/5.csv",14681,0.09,0.89,0.03,0.0,0.55,0.45,0.11
2290,"LoanAmount,EMI,InsuranceRate/4.csv",6460,0.09,0.89,0.03,0.0,0.45,0.55,0.11
2336,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",15718,0.09,0.89,0.03,0.0,0.56,0.44,0.11
2524,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount/2.csv",13338,0.09,0.89,0.03,0.0,0.56,0.44,0.11
2563,"LoanAmount,EMI,InsuranceRate,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
2565,"LoanAmount,EMI,InsuranceRate,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
2568,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
2794,"loantype,LoanAmount,InsuranceRate,ResidenceType,RentAmount/4.csv",8561,0.09,0.89,0.03,0.0,0.55,0.45,0.11
2857,"DocumentCharge,InsuranceRate,RentAmount/3.csv",12726,0.09,0.89,0.03,0.0,0.57,0.43,0.11
3002,"EMI,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
3004,"EMI,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
3067,"EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
3083,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",13939,0.09,0.89,0.03,0.0,0.56,0.44,0.11
3091,"loantype,LoanAmount,EMI,InsuranceRate,RentAmount/5.csv",6510,0.09,0.89,0.03,0.0,0.46,0.54,0.11
3177,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",9635,0.09,0.89,0.03,0.0,0.53,0.47,0.11
3275,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
3310,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
3312,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
3476,"loantype,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",13704,0.09,0.89,0.03,0.0,0.53,0.47,0.11
3623,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",13704,0.09,0.89,0.03,0.0,0.53,0.47,0.11
3674,"LoanAmount,InsuranceRate/4.csv",6256,0.09,0.89,0.03,0.0,0.45,0.55,0.11
3677,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
3776,"loantype,LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",1691,0.09,0.89,0.03,0.0,0.42,0.58,0.11
3848,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",15070,0.09,0.89,0.03,0.0,0.57,0.43,0.11
3889,"EMI,InsuranceRate,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
3913,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",15449,0.09,0.89,0.03,0.0,0.56,0.44,0.11
3924,"InsuranceRate,ResidenceType,NoOfDependents/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
4013,"InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4088,"LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4093,"LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4118,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4120,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
4167,"EMI,InsuranceRate,InsuranceAmount/5.csv",2630,0.09,0.89,0.03,0.0,0.43,0.57,0.11
4278,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount/2.csv",14886,0.09,0.89,0.03,0.0,0.57,0.43,0.11
4282,"LoanAmount,InsuranceRate,ResidenceType/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4284,"LoanAmount,InsuranceRate,ResidenceType/4.csv",1700,0.09,0.89,0.03,0.0,0.42,0.58,0.11
4427,"DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4448,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",13940,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4546,"LoanAmount,InterestRate,InsuranceRate/5.csv",8284,0.09,0.89,0.03,0.0,0.46,0.54,0.11
4601,"LoanAmount,EMI,InterestRate,InsuranceRate/5.csv",7515,0.09,0.89,0.03,0.0,0.46,0.54,0.11
4641,"LoanAmount,EMI,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.09,0.89,0.03,0.0,0.56,0.44,0.11
4750,"EMI,InterestRate,InsuranceRate,InsuranceAmount/5.csv",7944,0.09,0.89,0.03,0.0,0.47,0.53,0.11
4882,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/2.csv",13338,0.09,0.89,0.03,0.0,0.56,0.44,0.11
54,"EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/5.csv",2836,0.08,0.9,0.03,0.0,0.45,0.55,0.1
321,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",8561,0.08,0.89,0.03,0.0,0.55,0.45,0.11
387,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
462,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",9635,0.08,0.89,0.03,0.0,0.53,0.47,0.1
586,"DocumentCharge,InsuranceRate,ResidenceType,RentAmount/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
814,"LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
919,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
1206,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/4.csv",8561,0.08,0.89,0.03,0.0,0.55,0.45,0.11
1325,"loantype,DocumentCharge,InterestRate,InsuranceRate,RentAmount/5.csv",6582,0.08,0.9,0.03,0.0,0.53,0.47,0.1
1537,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount,RentAmount/5.csv",6461,0.08,0.9,0.03,0.0,0.46,0.54,0.1
1543,"LoanAmount,InterestRate,InsuranceRate,ResidenceType/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
1805,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
1905,"LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
2646,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount/4.csv",8561,0.08,0.89,0.03,0.0,0.55,0.45,0.11
2658,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount/5.csv",2364,0.08,0.9,0.03,0.0,0.44,0.56,0.1
2758,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
2912,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
3029,"LoanAmount,EMI,InterestRate,InsuranceRate,NoOfDependents/4.csv",10046,0.08,0.89,0.03,0.0,0.59,0.41,0.11
3350,"LoanAmount,DocumentCharge,InsuranceRate,ResidenceType/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
3632,"InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
3666,"loantype,LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/5.csv",1691,0.08,0.89,0.03,0.0,0.42,0.58,0.1
4337,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
4670,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount/5.csv",7813,0.08,0.9,0.03,0.0,0.47,0.53,0.1
4731,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
4911,"DocumentCharge,InsuranceRate,ResidenceType/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
5045,"InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",7947,0.08,0.89,0.03,0.0,0.56,0.44,0.11
2919,"loantype,LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",10252,0.07,0.9,0.03,0.0,0.53,0.47,0.09
2929,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",10252,0.07,0.9,0.03,0.0,0.53,0.47,0.09
37,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",10252,0.06,0.91,0.03,0.0,0.53,0.47,0.09
2765,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",10252,0.06,0.91,0.03,0.0,0.53,0.47,0.09
3253,"loantype,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/4.csv",10252,0.06,0.91,0.03,0.0,0.53,0.47,0.09
3287,"loantype,LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",9341,0.06,0.91,0.03,0.0,0.54,0.46,0.09
107,"loantype,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/2.csv",13336,0.05,0.92,0.03,0.0,0.56,0.44,0.08
209,"loantype,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",584,0.05,0.93,0.03,0.0,0.47,0.53,0.07
560,"loantype,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",584,0.05,0.93,0.03,0.0,0.47,0.53,0.07
1743,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",10252,0.05,0.93,0.03,0.0,0.53,0.47,0.07
2029,"loantype,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",585,0.05,0.93,0.03,0.0,0.47,0.53,0.07
2900,"LoanAmount,EMI,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",20658,0.05,0.93,0.03,0.0,0.53,0.47,0.07
16,"loantype,LoanAmount,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",4577,0.04,0.94,0.03,0.0,0.45,0.55,0.06
34,"loantype,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",584,0.04,0.93,0.03,0.0,0.47,0.53,0.07
38,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",10407,0.04,0.94,0.03,0.0,0.45,0.55,0.06
46,"DocumentCharge,EMI,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/2.csv",16593,0.04,0.94,0.03,0.0,0.54,0.46,0.06
48,"DocumentCharge,EMI,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",10207,0.04,0.93,0.03,0.0,0.5,0.5,0.07
49,"DocumentCharge,EMI,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/5.csv",3265,0.04,0.93,0.03,0.0,0.37,0.63,0.07
83,"LoanAmount,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",6398,0.04,0.93,0.03,0.0,0.52,0.48,0.07
103,"LoanAmount,InterestRate,ResidenceType,RentAmount,NoOfDependents/4.csv",1963,0.04,0.93,0.03,0.0,0.41,0.59,0.07
104,"LoanAmount,InterestRate,ResidenceType,RentAmount,NoOfDependents/1.csv",18414,0.04,0.93,0.03,0.0,0.52,0.48,0.07
108,"loantype,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",963,0.04,0.93,0.03,0.0,0.44,0.56,0.07
109,"loantype,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",11299,0.04,0.94,0.03,0.0,0.45,0.55,0.06
127,"loantype,LoanAmount,EMI,ResidenceType,NoOfDependents/2.csv",4584,0.04,0.94,0.03,0.0,0.45,0.55,0.06
153,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,RentAmount,NoOfDependents/4.csv",963,0.04,0.93,0.03,0.0,0.44,0.56,0.07
165,"DocumentCharge,EMI,InsuranceRate,RentAmount,NoOfDependents/5.csv",4796,0.04,0.93,0.03,0.0,0.4,0.6,0.07
180,"LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",9421,0.04,0.93,0.03,0.0,0.44,0.56,0.07
202,"LoanAmount,DocumentCharge,EMI,ResidenceType,RentAmount,NoOfDependents/4.csv",1963,0.04,0.93,0.03,0.0,0.41,0.59,0.07
208,"loantype,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",10407,0.04,0.94,0.03,0.0,0.45,0.55,0.06
215,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",4577,0.04,0.94,0.03,0.0,0.45,0.55,0.06
