,ACCESS_METHOD_ID_,IsWeekDay_,Period_,CALL_DURATION_sum,CALL_DURATION_max,CALL_DURATION_min,CALL_DURATION_mean,NO_OF_CALLS_sum,NO_OF_CALLS_max,NO_OF_CALLS_min,NO_OF_CALLS_mean
0,-11564834,1,afternoon,11,6,1,3.666,3,1,1,1
1,-11564834,1,morning,1,1,1,1,1,1,1,1
2,-11563490,1,afternoon,6,3,1,1.5,4,1,1,1
3,-11562449,0,evening,1,1,1,1,1,1,1,1
4,-11562449,1,afternoon,5,5,5,5,4,4,4,4
5,-11562449,1,evening,68,27,3,9.71,7,1,1,1
6,-11562449,1,morning,25,16,4,8.336,4,2,1,1.333
7,-11562449,1,night,14,7,2,4.668,4,2,1,1.333
8,-11561450,0,afternoon,1,1,1,1,1,1,1,1
9,-11561450,0,morning,1,1,1,1,1,1,1,1
10,-11560756,0,afternoon,23,15,1,7.668,3,1,1,1
11,-11560756,0,morning,2,2,2,2,1,1,1,1
12,-11560756,1,afternoon,3,1,1,1,3,1,1,1
13,-11560756,1,morning,3,2,1,1.5,2,1,1,1
14,-11560594,0,evening,11,4,1,1.833,6,1,1,1
15,-11560594,1,evening,2,2,2,2,1,1,1,1
16,-11560430,0,afternoon,2,1,1,1,2,1,1,1
17,-11560430,0,evening,2,1,1,1,2,1,1,1
18,-11560430,0,morning,11,5,2,3.666,4,2,1,1.333
19,-11560430,1,afternoon,10,5,1,2.5,6,2,1,1.5
20,-11560430,1,evening,2,1,1,1,2,1,1,1
21,-11560430,1,morning,32,18,1,4.57,8,2,1,1.143
22,-11560186,0,afternoon,7,7,7,7,1,1,1,1
23,-11560186,0,morning,1,1,1,1,1,1,1,1
24,-11560186,1,afternoon,4,3,1,2,3,2,1,1.5
25,-11560186,1,evening,9,9,9,9,1,1,1,1
26,-11555475,0,afternoon,1,1,1,1,1,1,1,1
27,-11555332,0,afternoon,68,28,1,13.6,7,2,1,1.4
28,-11555332,0,evening,27,15,1,5.4,8,4,1,1.6
29,-11555332,0,morning,70,23,1,11.664,6,1,1,1
30,-11555332,1,afternoon,105,29,1,5.832,18,1,1,1
31,-11555332,1,evening,91,67,1,10.11,10,2,1,1.111
32,-11555332,1,morning,69,31,1,5.75,12,1,1,1
33,-11555332,1,night,15,4,2,3,6,2,1,1.2
34,-11555189,0,afternoon,64,17,1,4.92,15,2,1,1.154
35,-11555189,0,evening,7,3,1,2.334,3,1,1,1
36,-11555189,0,morning,49,17,1,5.445,13,4,1,1.444
37,-11555189,1,afternoon,53,32,1,7.57,7,1,1,1
38,-11555189,1,evening,12,2,1,1.5,9,2,1,1.125
39,-11555189,1,morning,22,7,1,3.143,7,1,1,1
40,-11552762,1,afternoon,3,1,1,1,3,1,1,1
41,-11552762,1,evening,22,20,2,11,2,1,1,1
42,-11551946,1,evening,23,8,1,2.555,10,2,1,1.111
43,-11551946,1,morning,1,1,1,1,1,1,1,1
44,-11551193,0,afternoon,33,24,1,3.666,9,1,1,1
45,-11551193,0,evening,66,20,1,3.475,21,2,1,1.105
46,-11551193,0,morning,9,3,1,1.5,6,1,1,1
47,-11551193,0,night,33,11,1,6.6,8,4,1,1.6
48,-11551193,1,afternoon,34,2,1,1.308,28,2,1,1.077
49,-11551193,1,evening,45,14,1,2.37,19,1,1,1
50,-11551193,1,morning,16,5,1,1.333,12,1,1,1
51,-11551193,1,night,3,1,1,1,3,1,1,1
52,-11550989,0,afternoon,7,2,1,1.75,4,1,1,1
53,-11550989,0,evening,7,4,1,2.334,6,4,1,2
54,-11550989,0,morning,8,5,1,2,4,1,1,1
55,-11550989,1,afternoon,20,5,1,2.223,9,1,1,1
56,-11550989,1,evening,44,6,1,1.913,23,1,1,1
57,-11550989,1,morning,26,8,1,2,13,1,1,1
58,-11550499,0,afternoon,15,11,4,7.5,2,1,1,1
59,-11550499,0,evening,1,1,1,1,1,1,1,1
60,-11550499,1,afternoon,3,2,1,1.5,2,1,1,1
61,-11550499,1,evening,59,45,1,11.8,5,1,1,1
62,-11550499,1,morning,63,43,1,12.6,6,2,1,1.2
63,-11549031,0,afternoon,43,43,43,43,1,1,1,1
64,-11549031,0,morning,72,43,1,14.4,5,1,1,1
65,-11546299,0,afternoon,22,11,1,3.143,7,1,1,1
66,-11546299,0,evening,5,2,1,1.25,4,1,1,1
67,-11546299,0,night,30,30,30,30,3,3,3,3
68,-11546299,1,afternoon,14,11,1,3.5,4,1,1,1
69,-11546299,1,evening,4,2,2,2,2,1,1,1
70,-11546299,1,morning,1,1,1,1,1,1,1,1
71,-11546299,1,night,2,2,2,2,1,1,1,1
72,-11539630,0,afternoon,12,5,1,3,4,1,1,1
73,-11539630,0,evening,8,8,8,8,5,5,5,5
74,-11539630,0,morning,1,1,1,1,1,1,1,1
75,-11539630,1,afternoon,68,45,1,11.336,8,3,1,1.333
76,-11539630,1,evening,19,10,1,2.715,7,1,1,1
77,-11539630,1,morning,1,1,1,1,1,1,1,1
78,-11539039,0,evening,39,39,39,39,5,5,5,5
79,-11539039,0,morning,11,4,1,2.75,4,1,1,1
80,-11539039,1,afternoon,80,16,1,5,16,1,1,1
81,-11539039,1,evening,19,4,1,1.583,13,2,1,1.083
82,-11539039,1,morning,120,38,1,6,23,2,1,1.15
83,-11539039,1,night,1,1,1,1,1,1,1,1
84,-11538406,0,evening,11,9,1,3.666,4,2,1,1.333
85,-11538406,1,afternoon,7,3,1,1.75,4,1,1,1
86,-11538406,1,evening,2,1,1,1,2,1,1,1
87,-11538366,0,afternoon,10,2,1,1.25,8,1,1,1
88,-11538366,0,evening,11,7,1,3.666,4,2,1,1.333
89,-11538366,0,morning,1,1,1,1,1,1,1,1
90,-11538366,0,night,6,2,1,1.5,4,1,1,1
91,-11538366,1,afternoon,24,6,1,2,14,3,1,1.167
92,-11538366,1,evening,17,5,1,2.125,11,3,1,1.375
93,-11538366,1,morning,16,2,1,1.23,13,1,1,1
94,-11537489,1,afternoon,2,2,2,2,2,2,2,2
95,-11535348,0,afternoon,2,1,1,1,2,1,1,1
96,-11535348,0,evening,2,2,2,2,2,2,2,2
97,-11535348,0,morning,9,5,1,2.25,5,2,1,1.25
98,-11535348,1,afternoon,29,11,1,2.9,11,2,1,1.1
99,-11535348,1,evening,1,1,1,1,1,1,1,1
100,-11535348,1,morning,20,3,1,1.429,15,2,1,1.071
101,-11535205,0,afternoon,35,10,1,1.842,20,2,1,1.053
102,-11535205,0,evening,8,2,1,1.6,5,1,1,1
103,-11535205,0,morning,17,4,1,1.214,14,1,1,1
104,-11535205,1,afternoon,28,6,1,1.866,15,1,1,1
105,-11535205,1,evening,17,5,1,1.7,11,2,1,1.1
106,-11535205,1,morning,27,5,1,1.35,20,1,1,1
107,-11535205,1,night,8,2,1,1.6,5,1,1,1
108,-11533655,0,afternoon,9,2,1,1.286,7,1,1,1
109,-11533655,0,evening,15,5,1,1.5,11,2,1,1.1
110,-11533655,0,morning,16,3,1,2,9,2,1,1.125
111,-11533655,0,night,2,1,1,1,2,1,1,1
112,-11533655,1,afternoon,64,7,1,2.46,32,3,1,1.23
113,-11533655,1,evening,35,3,1,1.4,28,2,1,1.12
114,-11533655,1,morning,23,6,1,2.092,14,2,1,1.272
115,-11533655,1,night,10,4,1,1.667,9,3,1,1.5
116,-11530658,0,afternoon,4,2,1,1.333,3,1,1,1
117,-11530658,0,evening,1,1,1,1,1,1,1,1
118,-11530658,1,afternoon,5,2,1,1.25,4,1,1,1
119,-11530658,1,evening,6,2,1,1.2,6,2,1,1.2
120,-11530658,1,morning,4,2,2,2,4,2,2,2
121,-11530351,0,afternoon,41,7,1,2.158,22,2,1,1.158
122,-11530351,0,evening,25,3,1,1.389,19,2,1,1.056
123,-11530351,0,morning,62,30,1,3.875,17,2,1,1.0625
124,-11530351,1,afternoon,302,38,1,6.04,59,3,1,1.18
125,-11530351,1,evening,165,40,1,4.85,41,4,1,1.206
126,-11530351,1,morning,104,16,1,2.123,51,2,1,1.041
127,-11530351,1,night,15,12,1,5,3,1,1,1
128,-11528006,0,afternoon,15,4,1,1.667,11,2,1,1.223
129,-11528006,0,evening,17,4,1,1.889,10,2,1,1.111
