mobiles,prices,currency,new_used,web
mobiles,prices,currency,new_used,web
Galaxy J6+ - 6.0-inch 32GB 4G Mobile Phone - Gray,2739,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 Core - 6.0-inch 16GB 4G Mobile Phone - Black,1828,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 Core - 6.0-inch 16GB 4G Mobile Phone - Blue,1829,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 Core - 6.0-inch 16GB 4G Mobile Phone - Gold,1829,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10 - 6.1-inch 128GB Mobile Phone - Prism Black + ClearView Cover,15299,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 512GB Mobile Phone - Ceramic Black + ClearView Cover,21249,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 512GB Mobile Phone - Ceramic White + ClearView Cover,21249,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Note9 - 6.3-inch 512GB Dual SIM Mobile Phone - Ocean Blue,18399,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism Green + ClearView Cover,16999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism White + ClearView Cover,16999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism Black + ClearView Cover,16999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10 - 6.1-inch 128GB Mobile Phone - Prism White + ClearView Cover,15299,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism Green,17990,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism Black,17990,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Note9 - 6.4-inch 512GB Dual SIM Mobile Phone - Ocean Blue,17999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism White,17849,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism Black,17499,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S8+ - 6.2"" - 64GB Mobile Phone - Coral Blue",10599,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A9 (2018) - 6.3-inch 128GB Dual SIM Mobile Phone - Caviar Black,8500,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J6+ - 6.0-inch 32GB 4G Mobile Phone - Black,2739,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4+ - 6.0-inch 32GB 4G Mobile Phone - Gold,2379,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J6+ - 6.0-inch 32GB 4G Mobile Phone - Red,2739,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 Core - 6.0-inch 16GB 4G Mobile Phone - Blue,1829,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 Core - 6.0-inch 16GB 4G Mobile Phone - Black,1829,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Note9 - 6.4-inch 128GB Dual SIM Mobile Phone - Ocean Blue,13999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J6+ - 6.0-inch 32GB 4G Mobile Phone - Gray,2799,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A7 (2018) - 6.0-inch 128GB Dual SIM 4G Mobile Phone - Blue,5560,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A7 (2018) - 6.0-inch 128GB Dual SIM 4G Mobile Phone - Gold,5545,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4+ - 6.0-inch 32GB 4G Mobile Phone - Black,2425,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A7 (2018) - 6.0-inch 128GB Dual SIM 4G Mobile Phone - Black,5525,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Note9 - 6.4-inch 128GB Dual SIM Mobile Phone - Midnight Black,13999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Note9 - 6.4-inch 512GB Dual SIM Mobile Phone - Ocean Blue,19479,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S7 Edge Duos - 5.5"" - 32GB Dual SIM Mobile Phone - Gold",8700,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism Black,17849,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A9 (2018) - 6.3-inch 128GB Dual SIM Mobile Phone - Ocean Blue,8439,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy Note8 Duos - 6.3"" - 64GB - 4G Dual SIM Mobile Phone - Orchid Grey",10699,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy Note8 Duos - 6.3"" - 64GB - 4G Dual SIM Mobile Phone - Maple Gold",11500,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S8+ - 6.2"" - 64GB Dual SIM Mobile Phone - Maple Gold",10599,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S8 - 5.8"" - 64GB Mobile Phone - Maple Gold",7977,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 Core - 6.0-inch 16GB 4G Mobile Phone - Gold,1870,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Grand Prime Pro - 5.0-inch Dual SIM 16GB Mobile Phone - Silver,1966,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A9 (2018) - 6.3-inch 128GB Dual SIM Mobile Phone - Caviar Black,8444,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Note9 - 6.4-inch 512GB Dual SIM Mobile Phone - Midnight Black,19695,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S8 - 5.8"" - 64GB Mobile Phone - Midnight Black",9999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J6+ - 6.0-inch 32GB 4G Mobile Phone - Gray,2959,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Grand Prime Pro (2018) - 5.0-inch Dual SIM 16GB Mobile Phone - Blue Silver,2065,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10 - 6.1-inch 128GB Mobile Phone - Prism White,15839,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S8+ - 6.2"" - 64GB Dual SIM Mobile Phone - Midnight Black",10599,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S8+ - 6.2"" - 64GB Mobile Phone - Orchid Gray",10599,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Grand Prime Pro (2018) - 5.0-inch Dual SIM 16GB Mobile Phone - Black,1999,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy J7 Pro (2017) Duos - 5.5"" - 32GB - 4G Dual SIM Mobile Phone - Gold",4600,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy J7 Prime - 5.5"" - Dual SIM Mobile Phone - Black",3399,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S8 - 5.8"" - 64GB Mobile Phone - Orchid Gray",10819,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Grand Prime Pro (2018) - 5.0-inch Dual SIM 16GB Mobile Phone - Black,2165,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy Note5 - 5.7"" - 4G Mobile Phone - Black Sapphire",9650,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy J2 - 4.7"" - 3G Dual SIM Mobile Phone - White",2334,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy J1 Ace - 4.3"" - 3G Dual SIM 4GB Mobile Phone - Black",1639,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J6+ - 6.0-inch 32GB 4G Mobile Phone - Red,3000,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J6+ - 6.0-inch 32GB 4G Mobile Phone - Red,2959,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10 - 6.1-inch 128GB Mobile Phone - Prism Black,15990,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 128GB Mobile Phone - Prism White,17990,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10 - 6.1-inch 128GB Mobile Phone - Prism White,15990,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 - 5.5-inch Dual SIM 32GB Mobile Phone - Black,2700,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J8 - 6.0-inch 64GB Dual SIM 4G Mobile Phone - Gold,4650,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A6 (2018) - 5.6-inch Dual SIM 64GB Mobile Phone - Black,5135,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy Note8 Duos - 6.3"" - 64GB - 4G Dual SIM Mobile Phone - Orchid Grey",11800,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S7 Edge - 5.5"" - 32GB Mobile Phone - Gold",5900,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy S10+ - 6.4-inch 512GB Mobile Phone - Ceramic White,23399,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy S7 Edge - 5.5"" - 32GB Mobile Phone - Silver",9059,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A6+ (2018) - 6.0-inch Dual SIM 64GB Mobile Phone - Lavender,7999,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J4 - 5.5-inch Dual SIM 32GB Mobile Phone - Black,2324,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy A9 (2018) - 6.3-inch 128GB Dual SIM Mobile Phone - Caviar Black,8439,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Grand Prime Pro (2018) - 5.0-inch Dual SIM 16GB Mobile Phone - Gold,2049,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy J5 Pro (2017) Duos - 5.2"" - 32GB - 4G Dual SIM Mobile Phone - Gold",3478,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy J7 (2016) - 5.5"" Dual SIM 4G Mobile Phone - Gold",3325,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J2 Core - 5.0-inch 8GB Dual SIM 4G Mobile Phone - Gold,1625,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy Note9 - 6.4-inch 128GB Dual SIM Mobile Phone - Lavender Purple,15545,EGP,new,https://www.jumia.com.eg/mobile-phones/
"Galaxy J7 (2016) - 5.5"" Dual SIM 4G Mobile Phone - White",3325,EGP,new,https://www.jumia.com.eg/mobile-phones/
Galaxy J2 Core - 5.0-inch 8GB Dual SIM 4G Mobile Phone - Lavender,1625,EGP,new,https://www.jumia.com.eg/mobile-phones/
