mobiles,prices,currency,new_used,web
Apple iphone XR - 128GB - Face ID - Blue - (Official warranty),19899,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone SE - 32GB - Gold,5289,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone SE - 32GB - Space Grey,5289,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone XS Max - 64GB - Face ID - Gold - (Offical warranty),26999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone XS Max - 64GB - Face ID - Gray - (Official Warranty),26999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iphone XR - 64GB - Face ID - Blue - (Official warranty),18599,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple IPhone 6 - 32GB - Gold - (Official Warranty),6599,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone X - 3GB RAM - 64GB - Face ID - Silver - (Official Warranty),18949,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone 8 Plus - 3GB RAM - 64GB - Fingerprint - Gray - (Official Warranty),16949,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone 8 Plus - 3GB RAM - 64GB - Fingerprint - Gold - (Official Warranty),16949,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone X - 3GB RAM - 64GB - Face ID - Gray - (Official Warranty),18949,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Apple iPhone X - 256GB - Face ID - Gray - (Official Warranty),25499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
HTC Desire 10 Pro - 4GB RAM -  64GB ROM - Graphite Black,3199,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Infinix Hot S3X - 3GB RAM - 32GB - Fingerprint - Blue,3099,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Infinix Hot S3X - 3GB RAM - 32GB - Fingerprint - Black,3099,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Infinix Hot 6 Pro (X608) - 2GB RAM -16GB - Fingerprint - Gold,2549,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Oppo F9 - 6GB RAM - 64GB - Fingerprint - Blue,5989,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
OPPO A3s - 3GB RAM - 32GB - Red,3589,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
OPPO A3s - 3GB RAM - 32GB - Purple,3589,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Oppo F9 - 4GB RAM - 64GB - Fingerprint - Starry Purple,5489,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Oppo F9 - 4GB RAM - 64GB - Fingerprint - Twilight Blue,5489,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Oppo F9 - 4GB RAM - 64GB - Fingerprint - Sunrise Red,5489,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
OPPO A83 - 3GB RAM - 32GB - Black,3689,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
OPPO A83 - 3GB RAM - 32GB - Gold,3689,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Tecno Camon X - 3GB RAM - 32GB - FingerPrint - Gold,2599,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung A50 A505FN - 4GB RAM - 128GB - White,5599,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung A30 A305F -  4GB RAM - 64GB - White,4049,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung A50 - 4GB RAM - 128GB - Black - A505FN,5599,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung A30 A305F -  4GB RAM - 64GB - Black,4049,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galxy J4 core (J410FD) - 1GB RAM - 16GB - Gold,2025,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S10+ - 8GB RAM - 128GB - UltraSonic FingerPrint - Prism Green,18499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S10+ - 8GB RAM - 512GB - UltraSonic FingerPrint - Ceramic White,23499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S10+ - 8GB RAM - 512GB - UltraSonic FingerPrint - Ceramic Black,23499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S10+ - 8GB RAM - 128GB - UltraSonic FingerPrint - Prism White,18499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S10+ - 8GB RAM - 128GB - UltraSonic FingerPrint - Prism Black,18499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S10 - 8GB RAM - 128GB - UltraSonic FingerPrint - White,16499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S10 - 8GB RAM - 128GB - UltraSonic FingerPrint - Black,16499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galxy J4 core (J410FD) - 1GB RAM - 16GB - Blue,2025,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galxy J4 core (J410FD) - 1GB RAM - 16GB - Black,2025,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy A9 - 6GB RAM - 128GB - Fingerprint - Pink,10499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy A9 - 6GB RAM - 128GB - Fingerprint - Blue,10499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy A9 - 6GB RAM - 128GB - Fingerprint - Black,10499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy Note 9 - 8GB RAM - 512GB - Fingerprint - Black,19499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy J4 Plus - 2GB RAM - 32GB - Gold,2619,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy Note 9 Dual SIM - 6GB RAM 128GB - Blue,18299,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy A6 Plus - 4GB RAM - 64GB - Fingerprint - Black,5399,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S9 (G960FD) - 4GB RAM - 64GB - Fingerprint - Black,15099,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy Grand Prime Plus DS G532F - Black,1699,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy J6 Plus - 3GB RAM - 32GB - Fingerprint - Grey,2999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy J6 Plus - 3GB RAM - 32GB - Fingerprint - Red,2999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy Note 9 - 8GB RAM - 512GB - Fingerprint - Blue,19499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy J6 Plus - 3GB RAM - 32GB - Fingerprint - Black,2999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy J4 Plus - 2GB RAM - 32GB - Black,2619,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy Note 9 Dual SIM - 6GB RAM - 128GB - Purple,18299,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy Note 9 Dual SIM - 6GB RAM - 128GB - Midnight Black,18299,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung Galaxy S9 (G960FD) - 4GB RAM - 64GB - Fingerprint - Purple,11699,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Samsung J7 Core - 3GB RAM - 32GB - Black,2499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Sony XZ1 - 4GB RAM - 64GB - Fingerprint - Black + Free Cover and Screen,5499,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Sony Xperia XZ Premium - 4GB RAM - 64GB - Fingerprint - Chrome,6999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Sony Xperia XA1 Ultra - 4GB RAM - 32GB - White + (FREE Cover+ Screen Protector),3999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Xiaomi MI 8 Lite - 4GB RAM - 64GB - Fingerprint - BLack,4666,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Xiaomi MI A2 lite - 4GB RAM - 64GB - Fingerprint - Blue,3299,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Xiaomi MI A2 lite - 4GB RAM - 64GB - Fingerprint - Gold,3299,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Xiaomi MI A2 lite - 4GB RAM - 64GB - Fingerprint - Black,3299,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Viwa X6 - 2GB RAM - 16GB - Gold,1749,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Lenovo K8 Note -4GB RAM - 64GB - Fingerprint - Venom Black,3249,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Motorola Moto E5 Plus - 3GB RAM - 32GB - Fingerprint - Gold,2999,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
Motorola Moto One - 4GB RAM - 64GB - Fingerprint - Black,4199,EGP,new,https://2b.com.eg/en/mobile-and-tablet/mobiles.html
