mobiles,prices,currency,new_used,web
"Samsung Galaxy S10 Plus, 8G RAM, Dual SIM, 6.4-inch, 4G LTE",17770,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Samsung Galaxy S10, 128GB, 8G RAM, Dual SIM, 6.1-inch, 4G LTE",16499,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Samsung Galaxy J2 Core (J260FD), 8GB, 1G RAM, Dual SIM, 5.0-inch, 4G LTE",1599,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Samsung Galaxy A50 (A505FN), 128GB, 4G RAM, Dual SIM, 6.4-inch, 4G LTE",5299,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Samsung Galaxy A30 (A305F), 64GB, 4G RAM, Dual SIM, 6.4-inch, 4G LTE",3850,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Honor 8C, 32GB, 3G RAM, Dual SIM, 6.26-inch, 4G LTE",3299,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Honor View 20, 256GB, 8G RAM, Dual SIM, 6.4-inch, 4G LTE",12222,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Huawei Mate 20 PRO, 128GB, 6GB RAM Dual SIM, 6.39-inch, 4G LTE",17599,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Huawei Y7 Prime 2019, 32GB, 3GB RAM Dual SIM, 6.26-inch, 4G LTE",4250,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Realme C1, 16GB, 2G RAM, Dual SIM, 6.2-inch, 4G LTE",2190,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Nokia 3.1, 32GB, Dual Sim, 5.2"", 4G LTE ",2665,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Realme 2 PRO, 64GB, 4G RAM, Dual SIM, 6.3 inch, 4G LTE",3990,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Realme 2 PRO, 128GB, 8G RAM, Dual SIM, 6.3 inch, 4G LTE",5790,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Samsung Galaxy J4 Core, 16GB, 1G RAM, Dual SIM, 6.0-inch, 4G LTE",1920,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Honor 10 lite, 64GB, 3G RAM Dual SIM, 6.21-inch, 4G LTE",3777,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Oppo A7, 64GB 3G RAM, Dual SIM, 6.2-inch, 4G LTE",3990,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Huawei Mate 20, 128GB, 6GB RAM Dual SIM, 6.53-inch, 4G LTE",12399,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Xiaomi Mi Max 3, 64GB, Dual SIM, 6.9-inch, 4G LTE",5222,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Samsung Galaxy A9 2018 (A920), 128GB, Dual SIM, 6.3-inch, 4G LTE",9550,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Sico Topaz, 16GB, Dual SIM, 5.2"", 4G LTE - Black",1425,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Sico More 3, Dual SIM, 4.0-inch - Black",700,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Sico Mini 4, Dual SIM, 1.77-inch - Black",195,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Moto E5 Plus, 32GB, Dual SIM, 6.0-inch, 4G LTE",2999,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Moto G6, 64GB, Dual SIM, 5.7-inch, 4G LTE",4499,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Infinix Hot 6X, 32GB, Dual SIM, X623H 6.2 inch, 4G LTE",2839,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Infinix Hot 6X, 16GB, Dual SIM, X623 6.2 inch, 4G LTE",2499,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Infinix Note 5 Stylus, Dual SIM, X605 6.0 inch, 4G LTE",4155,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Infinix S3X, 32GB, Dual SIM, X622 6.2"", 4G LTE",3099,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Honor 8X 64GB - Dual SIM, 6.3 inch - 4G LTE ",4444,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Huawei Y5 Lite, 16GB, Dual SIM, 5.45"", 4G LTE",1630,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Xiaomi Mi 8 Pro, 128GB, Dual SIM, 6.21-inch, 4G LTE",9999,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Xiaomi Mi 8 Lite, 128GB, Dual SIM, 6.26-inch, 4G LTE ",5444,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Xiaomi Mi 8 Lite, 64GB, Dual SIM, 6.26-inch, 4G LTE",4666,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
"Nokia 8.1, 64GB, Dual SIM, 6.18-inch, 4G LTE",7749,EGP,new,https://www.ennap.com/mobiles-tablets-mobile-phones-1/page/17
