mobiles,prices,currency,new_used,web
"Apple iPhone 6Swith FaceTime- 32GB, 4G LTE, Space Gray",6720,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 8 Plus with FaceTime - 64GB, 4G LTE, Space Grey",13849,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 8 Plus with FaceTime - 64GB, 4G LTE, Gold",13949,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 7 with FaceTime - 32GB, 4G LTE, Black",9989,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone X with FaceTime - 64GB, 4G LTE, Silver",16199,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone X with FaceTime - 256GB, 4G LTE, Space Grey",18994,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone Xs Max With FaceTime - 64GB, 4G LTE, Gold",22662,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S8+ Dual Sim - 64GB, 4G LTE, Orchid Gray",9790,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 6S Pluswith FaceTime- 32GB, 4G LTE, Space Gray",8549,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S8+ Dual Sim - 64GB, 4G LTE, Midnight Black",9999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 6Swith FaceTime- 32GB, 4G LTE, Gold",6666,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 6Swith FaceTime- 32GB, 4G LTE, Silver",6999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone Xs With FaceTime - 64GB, 4G LTE, Space Gray",20399,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 8 Plus with FaceTime - 64GB, 4G LTE, Silver",13849,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Lenovo K6 Note Dual Sim - 32GB, 3GB RAM, 4G LTE, Dark Grey",2399,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone Xs With FaceTime - 256GB, 4G LTE, Gold",23388,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy Note 9 Dual SIM - 128GB, 6GB RAM, 4G LTE, Midnight Black",13885,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone Xs Max With FaceTime - 256GB, 4G LTE, Space Gray",24992,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S8+ Dual Sim - 64GB, 4G LTE, Maple Gold",9099,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 6S Pluswith FaceTime- 32GB, 4G LTE, Gold",8899,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
Nokia 105 - Blue,370,,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 7 Plus with FaceTime - 128GB, 4G LTE, Gold",12999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S8 Dual Sim - 64GB, 4G LTE, Orchid Gray",9999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 8 with FaceTime - 64GB, 4G LTE, Gold",12499,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone Xs With FaceTime - 64GB, 4G LTE, Silver",20399,,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy Note 8 Dual SIM - 64GB, 6GB RAM, 4G LTE, Orchid Grey",10395,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 8 with FaceTime - 64GB, 4G LTE, Space Grey",12499,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S7 Edge Dual Sim - 32GB, 4GB RAM, 4G LTE, Gold",7900,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
