mobiles,prices,currency,new_used,web
SICO Mini 4 - 1.77-inch Dual SIM Mobile Phone - Black,195.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Oppo A3s - 6.2-inch 16GB Dual SIM Mobile Phone - Red,2795.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
SICO Mini 4 - 1.77-inch Dual SIM Mobile Phone - Black,195.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"viwa F1711 - 1.77"" Dual SIM Mobile Phone - Black/Orange",195.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"IKU R222 - 32MB, Dual SIM Wirless FM Radio - Black",235.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"OneClick K350 Dual SIM - 32MB, 32MB RAM, 2G, Yellow",240.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Smtel KR10 - 1.8-inch Dual SIM Mobile Phone - White,167.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"iMobily K8 Dual SIM -  1.7 Inch, 2G, Orange",175.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Nokia 106 Grey,349.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Itel it2160-Black,190.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Girasole G30 - 2.4-inch Dual SIM Mobile Phone - Black,250.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Smtel KR10 - 1.8-inch Dual SIM Mobile Phone - Blue,167.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"OneClick K360 - 2.4"" Dual SIM Mobile Phone - Yellow",233.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Generic Hope BM50 - 0.66 Mini Mobile Phone And Bluetooth Headset - White,398.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Smtel KR11 - 1.8 -inch Dual SIM Mobile Phone - Black,169.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"iMobily K8 Dual SIM -  1.7 Inch, 2G, Black",179.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"IKU FX Plus Dual SIM - 32MB, 32MB RAM, 2G, Black/Red",195.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Smtel KR6 Dual Sim Mobile Phone 2.4 Inch - Yellow,200.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Xtouch L1 - 2G Dual SIM Mobile Phone - Black,222.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"GiraSole G3 Dual Sim, 32MB RAM, 2G, Red",240.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"Ibrit B2 , Dual Sim , 32Mb , 2G - Black - B2-Blk",259.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
iBRIT BX - 2.8-inch Dual SIM Mobile Phone - Red,329.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"Ibrit Bx , Dual Sim , 32Mb , 2G - Black - BX-Blk",359.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Mtouch U6 Dual SIM Mobile Phone - Gold,399.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
mini mobile phone BM10,450.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Nokia 150 - Dual SIM Featured Phone - Black,645.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Oppo A3s - 6.2-inch 16GB Dual SIM Mobile Phone - Red,2795.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
Huawei Y7 Prime 2019 Black,3149.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"Huawei Y7 Prime 2018 Dual SIM - 32GB, 3G RAM, 4G LTE, Blue",3799.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"Huawei Nova 3i Dual SIM, 128GB, 4GB RAM, 4G LTE - Iris Purple",5088.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
"Infinix X556 Hot 4 Pro LTE - 5.5"" - 4G Dual SIM Mobile Phone - Anthracite Grey",2195.0,EGP,new,https://yaoota.com/en-eg/category/mobiles-and-tablets/mobiles/
