mobiles,prices,currency,new_used,web
"عرض خاص "" iphone 6 : 128gb "" كسر زيرو بحاله ممتازه",4750,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
"ايفون 8 بلس ** 64 جيجا بايت "" جديد "" جولد & جراى ( وارد خارج )",12300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iPhone 7 Plus 128gb,7900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
"عـرضـ i phone 8 جديد الكرتونة فقط "" 64 جيجا "" اورجينال 100% """,10000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
للبيع او للبدل نوكياان70,350,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبيل سامسونج جلاكسى اس دوس حاله جيده,500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung Note 2,1650,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
عرض لمده اسبوع فقطI phone 8+64G جديد الكرتونه مفتوحه(وارد الخارج),12500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
فون تكنو اف ٣,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iphone 7 plus 32عرض خاص لفتره محدوده,10200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
اينفنكس hot 6 pro,2200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung not 8,10500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iphone 7 plus •• 128 GIGA •• استيراد من الخارج •• كسر زيرو بالكرتونة,10000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل tecno w5 بصمة,2000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون فور 16 جيجا,450,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
نوفا 2 بلس,3750,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
شاومي mi a2 مساحة 64 رام 4 ... Xiaomi,3800,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
6s بلس,6500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
للبيع موبيل A7 2018 كسر زيرو,4700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
شاومي A1,3100,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج j 7prime مفيهوش خدش الخرابيش الي في الشاشه دي اسكرينه,2100,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
لسرعة البيع,2100,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung Galaxy Note 8 Clear View Standing Cover Case - Black,700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج جي 7,900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
huawei Y5 2018,1650,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
OPPOA3Sبكل محتوياتها والضمان استخدم ايام بس مش بدل وبدون فصيل نهائى,2200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iphone 5s,2000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
اقوى موبايل وباور بانك خطين وميمورى كارد وشاشة كبيرة وبطارية تصل لشهر,560,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل سوني سي 3,650,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 7plus 256g بدل او بيع,10500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
للبيع,900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل  htc one E9 plus dual sim,1600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphine 8 plus 64 giga like new,11500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung not 3 Gold 4G,1500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
مطلوب بورده تيلفون htc 820,300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iphone 7 128g,7000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
