Article #,Entity
0,Imran Khan
1,Asad Umar
2,"Asad,Nacta"
3,Asad Umar
5,Nacta
6,Asad
7,"Baloch,Raheel Qamar Ahmad,Samiullah"
11,Samiullah
12,"Hundi,Imran Khan"
13,Imran Khan
14,"Anwar Mansoor Khan,Asad Omar,Iftikhar Durrani,NADRA,Zulfiqar Abbas Bukhari"
25,Imran
26,"Ikram Ullah,Mahmood Khan,Nadeem Babar,Power Irfan Ali,Power Omar Ayub"
31,Power
33,Power
35,Mondaq
39,Mondaq
40,Mondaq
43,Mondaq
44,Mondaq
49,Mondaq
54,Mondaq
56,Mondaq
57,Mondaq
61,Mondaq
63,Mondaq
65,Mondaq
70,Mondaq
75,Äripäev
76,Mario Draghi
78,Äripäev
80,Khalida Habib
81,Habib
82,Habib
85,Habib
87,Habib
92,Habib
93,Waseem Ahmad Khan
94,Khan
125,JD Supra
128,JD Supra
157,JD Supra
174,JD Supra
195,JD Supra
210,Sigal Mandelker
217,Mandelker
220,Samuel Rubenfeld
225,Dimitris Avramopoulos
233,Tariq Bakhtawar
239,Tariq Bakhtawar
240,Datin Seri Rosmah Mansor
241,Azura Alwi
242,"Datuk Geethan Ram Vincent,Rosmah"
244,"Datuk Seri Najib Razak,Rosmah"
247,Rosmah
250,"Datin Seri Rosmah Mansor,Hari"
265,Estera
269,Andrew Millar
272,Gerard Finnegan
279,Mossack Fonseca
285,Zafar Paracha
297,Frans Timmermans
298,Valdis Dombrovskis
299,Vera Jourová
324,Williams
325,Williams
327,Williams
341,Lotteriinspektionen
342,"Lotteriinspektionen,Malmö"
347,Lotteriinspektionen
348,"Jaldung,Per Jaldung"
350,Malmö
354,Nouy
356,Nouy
367,Casa
368,Yorgen Fenech
370,"Casa,Mizzi,Schembri,Simon Busuttil"
371,Casa
372,"Keith Schembri,Konrad Mizzi,Mossack Fonseca"
374,Casa
375,Konrad Mizzi
376,Casa
378,Casa
380,"Fenergo,Laura Glynn"
401,Radu Cantar
413,Lawrence Wong
414,Wong
418,Wong
420,Wong
425,Nee Soon GRC Louis Ng
426,Bill
428,Ng
429,Mr Wong
430,Ng
431,Mr Ng
432,Lee Bee Wah
433,"Lee Bee Wah,Nee Soon"
434,Mr Wong
435,Wong
438,"Gan Thiam Poh,Wong"
440,Lee
444,Wong
448,Duterte
449,Duterte
469,Jim Nussle
470,Nussle
471,Brad Thaler
472,Mike Crapo
473,Sherrod Brown
474,Brown
475,Kenneth Blanco
479,Jim Nussle
483,"Edward Snowden,Julian Assange"
503,Imran Samad
506,Obaidur Rehman Abbasi
507,Imran Khan
508,"Imran Khan,Obaidur Rehman"
510,Obaidur Rehman
511,Obaidur Rehman Abbasi
512,Comyn
513,Orr
516,Hayne
517,Hayne
518,Comyn
519,Hayne
521,Hayne
523,Hayne
525,Hayne
526,Orr
527,Hayne
528,Hayne
530,Hayne
532,Hayne
534,Hayne
536,"Hayne,Orr"
537,Hayne
539,Comyn
540,Hayne
541,Hayne
542,Rosmah
543,"Asad Umar,Daish,Haqqani Network,Jaish-e-Mohmmad"
547,"Daish,Haqqani Network,Jaish-e-Mohmmad"
552,Rachel Davies Teka
554,Caroline Nokes
558,"Abramovich,Chelsea"
561,"Amber Rudd,Sergei Skripal"
565,Feedzai
567,Saurabh Bajaj
571,Feedzai
572,"Credorax,Feedzai"
574,Feedzai
575,Daniele Nouy
580,Nouy
586,"Janet Lim Napoles,Richard Cambe,Sandiganbayan"
587,"Ramon,Revilla Jr"
589,Will Revilla
590,Rean Balisi
591,Revilla
592,"Ramon Esguerra,Revillas"
594,Benhur Luy
595,Revilla
597,"Geraldine Faith Econg,Ramon Bong Revilla Jr"
598,"Duterte,Econg,Edgardo Caldona,Efren dela Cruz,Georgina Hidalgo,Theresa Dolores Gomez-Estoesta"
599,Econg
601,"Revilla,Theresa Dolores Gomez-Estoesta"
602,"Estoesta,Revilla"
603,"Estoesta,Revilla"
