orignal_name,wikipedia_name
2way development,Arrested Development (season 2)
4 children,2point4 Children
abbey national charitable trust limited,National Trust for Places of Historic Interest or Natural Beauty
abbeyfield belfast society limited,2004 New Year Honours
abdul basir anwar,Abdul Basir Salangi
abdul fareed zakaria,Fareed Zakaria
abdul rahman mohammed al oweis,Abdul Rahman Mohammed Al Owais
abdullah al nuaimi,Rashid Abdullah Al Nuaimi
abu dhabi international marine sports club,Etihad Airways
abul hassan mahmud ali,Abul Hassan Mahmood Ali
abul kalam mohammad humayun kabir,List of Bangladeshi actors
acp-eu migration project,Mariya Gabriel
action cancer,Pancreatic Cancer Action Network
action for biology in education ltd,Education in India
admiral ravindra wijegunaratne,Ravindra Wijegunaratne
africa friendship association,SA-China People's Friendship Association
against child abuse ltd,Child abuse
agnes buzyn,Agnès Buzyn
ahmad abdullah belhoul al falasi,Cabinet of the United Arab Emirates
ahmed bouziane,Sid-Ahmed Bouziane
ahmed mohamed,Ahmed Mohamed clock incident
aishath ali,Kuhveriakee Kaakuhey?
alain wong,LGBT rights in Mauritius
alan pughsley,Kent Police
albert l. lewis.,Albert L. Lewis
ali bin khalifa al khalifa,Khalifa bin Salman Al Khalifa
ali javed,Javed Ali
ali rasheed,Rasheed Naz
americares foundation,AmeriCares
andy adams,Andy Adams (writer)
andy marsh,Thy Art Is Murder
aneerood jugnauth,Anerood Jugnauth
anthony bangham,West Mercia Police
anthony carey,Louis Carey
anwar mohammed qarqash,Anwar Gargash
"asaduzzaman khan,",Asaduzzaman Khan
asian outreach hong kong limited,Nicholas Tse
assadullah hassan balkhi,Cabinet of Afghanistan
assisted voluntary return and reintegration (avrr),Voluntary return
aya abdel karim,Nile TV International
ayatollah sheikh isa ahmed qassim,Isa Qassim
ban ki – moon,Ban Ki-moon
bandula gunawardena,Bandula Gunawardane
baroness evans of bowes park,"Natalie Evans, Baroness Evans of Bowes Park"
baroness smith of basildon,"Angela Smith, Baroness Smith of Basildon"
barry w. lynn.,Barry W. Lynn
beatrice kankindi,Godefroid Niyombare
body shop foundation,The Body Shop
catherine pugh,Catherine E. Pugh
cesar abi khalil,Dalida Khalil
child development centre (the),Integrated Child Development Services
children’s homes foundation,Starlight Children's Foundation
christian concern for the homeless association,Homeless Jesus
"christophe castaner,",Christophe Castaner
cleopa mailu,Cleopa Kilonzo Mailu
