,orignal_name,wikipedia_name
0,aamir talal khan,Aamir Khan
1,abdul aleem khan,Aleem Khan
2,abdul ghafar,Abdul Ghaffar
3,abdul jabbar,Kareem Abdul-Jabbar
4,abdul khaliq,Abdul Khaliq (athlete)
5,abdul rasheed,Abdul Rasheed Na'Allah
6,abdul rehman khan,Chaudhry Abdul Rehman Khan
7,abdul rehman malik,Rehman Malik
8,"abdul wahab,sp",2014 Saharanpur riots
9,abdul wali khan,Khan Abdul Wali Khan
10,"abdullah khan, psp",Mankera
11,adil pervaiz,Adil Pervaiz Gujjar
12,admiral zafar mahmood abbasi,Zafar Mahmood Abbasi
13,"agha babar gul, psp","Pakistani Senate election, 2018"
14,agha jan akhtar,Rabiya Javeri Agha
15,agha muhammad yousaf,Muhammad Yousaf (snooker player)
16,agha sher shah,Fath-Ali Shah Qajar
17,ahmed khan,Imran Khan
18,ahmed nawaz,Maajid Nawaz
19,ahsan iqbal chaudhary,Ahsan Iqbal
20,aijaz hussain shah,Syed Aijaz Hussain Shah
21,air chief marshal mujahid anwar khan,Mujahid Anwar Khan
22,air marshal arshad mahmood malik,List of serving air marshals of the Pakistan Air Force
23,air marshal javad saeed,List of serving air marshals of the Pakistan Air Force
24,"aamir masood, si(m), s bt, gd (p)",List of serving air marshals of the Pakistan Air Force
25,"abrar ahmed, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
26,"asad ikram, si(m), engg",List of serving air marshals of the Pakistan Air Force
27,"hamid rashid randhawa, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
28,"imran khalid, hi(m), gd (p) (superseded)",List of serving air marshals of the Pakistan Air Force
29,"malik faheem ullah, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
30,"muhammad athar shams, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
31,"muhammad zahid mehmood, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
32,"muhammad zahoor faisal, si(m), ad",List of serving air marshals of the Pakistan Air Force
33,"noor abbas, si(m), engg",List of serving air marshals of the Pakistan Air Force
34,"sarfraz khan, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
35,"tanveer ashraf bhatti, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
36,"waqas ahmed sulehri, si(m), gd (p)",List of serving air marshals of the Pakistan Air Force
37,akhtar ali khan,Saif Ali Khan
38,ali abbas,Ali Abbas Zafar
39,ali abbas khan,Ali Abbas Zafar
40,ali akhtar,Syed Ali Akhtar Rizvi
41,ali amin khan,Ali Amin Gandapur
42,ali ghulam,Ghulam Ali (singer)
43,ali hassan,Ali Hassan al-Majid
44,ali nawaz khan mahar,Ali Nawaz Khan Mehar
45,ali pervaiz,Ali Pervaiz Malik
46,amir haider azam khan,Ameer Haider Khan Hoti
47,amjad ali,Amjad Ali Khan
48,arbab jehandad khan,Arbab Jahandad Khan
49,arbab muhammad waseem khan,Arbab Muhammad Wasim Khan
